family_id temporary_sample_id original_sample_id
CHBR000003 Chesapeake_Bay_Retriever_325 CHBR000003
CHBR000004 Chesapeake_Bay_Retriever_326 CHBR000004
CHBR000005 Chesapeake_Bay_Retriever_327 CHBR000005
CHIH000005 Chihuahua_328 CHIH000005
CHIH000006 Chihuahua_329 CHIH000006
CHIN000001 Japanese_Chin_330 CHIN000001
CHIN000003 Japanese_Chin_331 CHIN000003
CHIN000005 Japanese_Chin_332 CHIN000005
CHIN000007 Japanese_Chin_333 CHIN000007
CHOW000001 Chow_Chow_334 CHOW000001
CHOW000002 Chow_Chow_335 CHOW000002
CHOW000003 Chow_Chow_336 CHOW000003
CHOW000004 Chow_Chow_337 CHOW000004
CI001 Cane_Corso_338 CI001
CI002 Cane_Corso_339 CI002
CIRN000001 Cirneco_dell_Etna_340 CIRN000001
CIRN000002 Cirneco_dell_Etna_341 CIRN000002
CIRN000003 Cirneco_dell_Etna_342 CIRN000003
CIRN000004 Cirneco_dell_Etna_343 CIRN000004
CIRN000005 Cirneco_dell_Etna_344 CIRN000005
CK023 Cavalier_King_Charles_Spaniel_345 CK023
CKCS000005 Cavalier_King_Charles_Spaniel_346 CKCS000005
CLATUS000001 Coyote_347 CLATUS000001
CLATUS000002 Coyote_348 CLATUS000002
CLATUS000003 Coyote_349 CLATUS000003
CLATUS000004 Coyote_350 CLATUS000004
CLSP000001 Clumber_Spaniel_351 CLSP000001
CLSP000002 Clumber_Spaniel_352 CLSP000002
CLSP000003 Clumber_Spaniel_353 CLSP000003
CLSP000004 Clumber_Spaniel_354 CLSP000004
CLSP000005 Clumber_Spaniel_355 CLSP000005
CLUPCN000001 Wolf_China_356 CLUPCN000001
CLUPCN000004 Wolf_China_357 CLUPCN000004
CLUPCN000006 Wolf_China_358 CLUPCN000006
CLUPCN000007 Wolf_China_359 CLUPCN000007
CLUPCN000009 Wolf_China_360 CLUPCN000009
CNCS000003 Cane_Corso_361 CNCS000003
CNCS000004 Cane_Corso_362 CNCS000004
CNTI000001 Continental_Bulldog_363 CNTI000001
CNTI000002 Continental_Bulldog_364 CNTI000002
CNTI000003 Continental_Bulldog_365 CNTI000003
CNTI000004 Continental_Bulldog_366 CNTI000004
CNTI000006 Continental_Bulldog_367 CNTI000006
COLL000001 Collie_368 COLL000001
COLL000005 Collie_369 COLL000005
COLL000006 Collie_370 COLL000006
COLL000011 Collie_371 COLL000011
COOK000001 Chinook_372 COOK000001
COOK000003 Chinook_373 COOK000003
COOK000004 Chinook_374 COOK000004
COOK000005 Chinook_375 COOK000005
COOK000006 Chinook_376 COOK000006
CR018 Curly_Coated_Retriever_377 CR018
CR023 Curly_Coated_Retriever_378 CR023
CR101 Curly_Coated_Retriever_379 CR101
CRTR000001 Cretan_Tracer_380 CRTR000001
CRTR000002 Cretan_Tracer_381 CRTR000002
CRTR000003 Cretan_Tracer_382 CRTR000003
CRTR000004 Cretan_Tracer_383 CRTR000004
CRTR000005 Cretan_Tracer_384 CRTR000005
CRTR000008 Hellenic_Hound_385 CRTR000008
CRTR000009 Hellenic_Hound_386 CRTR000009
CRTR000011 Hellenic_Hound_387 CRTR000011
CRTR000012 Hellenic_Hound_388 CRTR000012
CSHD000001 Catalan_Sheepdog_389 CSHD000001
CSHD000002 Catalan_Sheepdog_390 CSHD000002
CSHD000003 Catalan_Sheepdog_391 CSHD000003
CSHD000004 Catalan_Sheepdog_392 CSHD000004
CSHD000005 Catalan_Sheepdog_393 CSHD000005
CSKT000003 Cesky_Terrier_394 CSKT000003
CSKT000005 Cesky_Terrier_395 CSKT000005
CSKT000006 Cesky_Terrier_396 CSKT000006
CSKT000007 Cesky_Terrier_397 CSKT000007
CSKT000008 Cesky_Terrier_398 CSKT000008
CW011 Chow_Chow_399 CW011
DACH000003 Dachshund_400 DACH000003
DACH000008 Dachshund_401 DACH000008
DACH000010 Dachshund_402 DACH000010
DACH000011 Dachshund_403 DACH000011
DALM000002 Dalmatian_404 DALM000002
DALM000003 Dalmatian_405 DALM000003
DAND000001 Dandie_Dinmont_Terrier_406 DAND000001
DAND000002 Dandie_Dinmont_Terrier_407 DAND000002
DAND000004 Dandie_Dinmont_Terrier_408 DAND000004
DAND000005 Dandie_Dinmont_Terrier_409 DAND000005
DAND000006 Dandie_Dinmont_Terrier_410 DAND000006
DARG000001 Dogo_Argentino_411 DARG000001
DARG000002 Dogo_Argentino_412 DARG000002
DARG000003 Dogo_Argentino_413 DARG000003
DARG000004 Dogo_Argentino_414 DARG000004
DARG000005 Dogo_Argentino_415 DARG000005
DDBX000002 Dogue_de_Bordeaux_416 DDBX000002
DDBX000005 Dogue_de_Bordeaux_417 DDBX000005
DREV000002 Drever_418 DREV000002
DREV000003 Drever_419 DREV000003
DREV000004 Drever_420 DREV000004
DREV000005 Drever_421 DREV000005
DREV000006 Drever_422 DREV000006
DSFD000001 Danish_Swedish_Farmdog_423 DSFD000001
DSFD000003 Danish_Swedish_Farmdog_424 DSFD000003
DSFD000004 Danish_Swedish_Farmdog_425 DSFD000004
DSFD000005 Danish_Swedish_Farmdog_426 DSFD000005
DSFD000006 Danish_Swedish_Farmdog_427 DSFD000006
EGTT000001 Cavalier_King_Charles_Spaniel_428 EGTT000001
EGTT000008 English_Toy_Terrier_429 EGTT000008
EGTT000009 English_Toy_Terrier_430 EGTT000009
EGTT000011 English_Toy_Terrier_431 EGTT000011
EGTT000012 English_Toy_Terrier_432 EGTT000012
EGTT000013 English_Toy_Terrier_433 EGTT000013
ELOD000001 Elo_434 ELOD000001
ELOD000002 Elo_435 ELOD000002
ELOD000003 Elo_436 ELOD000003
ELOD000004 Elo_437 ELOD000004
ELOD000005 Elo_438 ELOD000005
EN091 Entlebucher_Mountain_Dog_439 EN091
EN262 Entlebucher_Mountain_Dog_440 EN262
ENTB000001 Entlebucher_Mountain_Dog_441 ENTB000001
ENTB000005 Entlebucher_Mountain_Dog_442 ENTB000005
ENTB000008 Entlebucher_Mountain_Dog_443 ENTB000008
EPNT000002 English_Pointer_444 EPNT000002
EPNT000003 English_Pointer_445 EPNT000003
EPNT000006 English_Pointer_446 EPNT000006
EPNT000008 English_Pointer_447 EPNT000008
ESMD000001 Estrela_Mountain_Dog_448 ESMD000001
ESMD000002 Estrela_Mountain_Dog_449 ESMD000002
ESMD000004 Estrela_Mountain_Dog_450 ESMD000004
ESMD000005 Estrela_Mountain_Dog_451 ESMD000005
ESMD000006 Estrela_Mountain_Dog_452 ESMD000006
EU008 Eurasier_453 EU008
EU035 Eurasier_454 EU035
EURA000001 Eurasier_455 EURA000001
EURA000002 Eurasier_456 EURA000002
EURA000004 Eurasier_457 EURA000004
FIEL000001 Field_Spaniel_458 FIEL000001
FIEL000002 Field_Spaniel_459 FIEL000002
FIEL000003 Field_Spaniel_460 FIEL000003
FIEL000004 Field_Spaniel_461 FIEL000004
FIEL000005 Field_Spaniel_462 FIEL000005
FINH000001 Finnish_Hound_463 FINH000001
FINH000003 Finnish_Hound_464 FINH000003
FINH000004 Finnish_Hound_465 FINH000004
FINH000005 Finnish_Hound_466 FINH000005
FINH000006 Finnish_Hound_467 FINH000006
FINS000002 Finnish_Spitz_468 FINS000002
FINS000003 Finnish_Spitz_469 FINS000003
FINS000004 Finnish_Spitz_470 FINS000004
FINS000005 Finnish_Spitz_471 FINS000005
FINS000006 Finnish_Spitz_472 FINS000006
FLCD000003 Bouvier_des_Flandres_473 FLCD000003
FLCD000004 Bouvier_des_Flandres_474 FLCD000004
FLCD000005 Bouvier_des_Flandres_475 FLCD000005
FLCD000006 Bouvier_des_Flandres_476 FLCD000006
FLCD000007 Bouvier_des_Flandres_477 FLCD000007
FLCR000001 Flat_Coated_Retriever_478 FLCR000001
FLCR000002 Flat_Coated_Retriever_479 FLCR000002
FRSP000001 French_Spaniel_480 FRSP000001
FRSP000003 French_Spaniel_481 FRSP000003
FRSP000004 French_Spaniel_482 FRSP000004
FRSP000005 French_Spaniel_483 FRSP000005
FRSP000006 French_Spaniel_484 FRSP000006
FXTE000004 Smooth_Fox_Terrier_485 FXTE000004
FXTE000005 Smooth_Fox_Terrier_486 FXTE000005
GAFT000001 Great_Anglo_French_Tricolour_Hound_487 GAFT000001
GAFT000002 Great_Anglo_French_Tricolour_Hound_488 GAFT000002
GAFT000003 Great_Anglo_French_Tricolour_Hound_489 GAFT000003
GAFT000004 Great_Anglo_French_Tricolour_Hound_490 GAFT000004
GAFT000006 Great_Anglo_French_Tricolour_Hound_491 GAFT000006
